Cluster	Mass	RA	DEC	NMem	<RV>	ERV	R_Sun	R_GC		DM	V	M/L_V	DM/L	rc	"rh,m"	"rh,l"	rho_c	"rho_h,m"	lg Trh	MF	sig0	vesc	etac	etah
Name	[Msun]				[km/s]	[km/s]	[kpc]	[kpc]		[Msun]	[mag]	[Ms/Ls]	[Ms/Ls]	[pc]	[pc]	[pc]	[Ms/pc3]	[Ms/pc3]	[yr]	Slope	[km/s]	[km/s]		
NGC 5927	3.54E+05	232.00287	-50.67303	386	-104.1	0.3	8.4	4.9		3.08E+03	7.74   0.39	2.61	0.36	1.46	7.21	4.98	3.28	2.23	9.54	-0.3	6.5	24.9	-0.3	-0.04
NGC 5986	3.01E+05	236.5125	-37.78641	231	101	0.4	9	4.02		3.05E+04	7.74   0.15	2.45	0.38	1.09	3.73	2.44	4.13	3.27	9.12	-0.57	8.3	31.1	-0.38	-0.12
NGC 6093	2.49E+05	244.26004	-22.97608	455	11.2	0.4	10.5	3.95		1.22E+04	7.35   0.13	1.43	0.15	0.19	3.02	1.83	5.48	3.15	8.94	-0.31	9.5	40.2	-0.43	-0.12
NGC 6101	1.27E+05	246.45048	-72.20219	0	361.4	1.7	16.07	11.66		1.06E+04	8.70   0.20	3	1.7	5.45	14.97	10.32	1.32	0.66	9.98	-1.02	2.7	9.6	-0.3	-0.03
NGC 6121	9.69E+04	245.89674	-26.52575	2981	71	0.1	2.14	6.5		2.57E+03	5.63   0.09	1.71	0.1	0.66	4.2	2.82	3.63	2.17	8.99	-0.19	4.6	18.4	-0.38	-0.11
NGC 6139	3.59E+05	246.91821	-38.84875	56	25	0.8	10.4	3.63		7.29E+04	8.95   0.13	1.9	0.4	0.41	4.29	2.62	4.84	2.71	9.28	-0.57	9.2	37.8	-0.39	-0.11
NGC 6144	4.63E+04	246.80777	-26.0235	19	196	0.7	12.02	4.69		2.66E+04	9.01   0.25	0.54	0.32	2.72	7.91	5.9	1.77	1.05	9.25	0.12	2.2	8	-0.25	-0.08
NGC 6171	8.70E+04	248.13275	-13.05378	392	-34.7	0.2	6.09	3.77		7.02E+03	8.18   0.31	2.16	0.61	0.88	4.27	3.11	3.31	2.12	8.95	0.08	4.3	16.4	-0.32	-0.1
NGC 6205	4.53E+05	250.42181	36.45986	386	-244.4	0.3	6.6	8.49		3.40E+04	5.80   0.10	2.61	0.26	1.58	4.56	3.08	3.58	2.87	9.36	-0.62	9.2	33.4	-0.32	-0.11
NGC 6218	8.65E+04	251.80907	-1.94853	469	-41.2	0.2	5.22	4.79		6.02E+03	6.92   0.28	1.27	0.3	0.71	4.05	2.82	4.05	2.51	8.91	-0.25	4.5	16.9	-0.32	-0.11
NGC 6229	2.91E+05	251.74496	47.52775	21	-138.3	0.8	30.62	29.97		9.37E+04	9.59   0.18	2.42	0.88	1.16	5.01	3.18	3.56	2.46	9.35	-0.63	7.1	27.3	-0.37	-0.1
NGC 6254	1.84E+05	254.28772	-4.10031	400	74	0.2	4.71	4.83		4.31E+03	6.42   0.38	1.94	0.07	0.81	4.39	2.78	3.78	2.49	9.15	-0.5	6.2	24.1	-0.35	-0.09
NGC 6256	7.23E+04	254.88592	-37.12139	15	-99.6	1.1	6.4	2.65		3.32E+04	10.95   0.47	2.23	1.43	0.05	4.38	2.93	5.98	1.99	8.96	-0.26	4.5	17.7	-0.37	-0.13
NGC 6266	7.07E+05	255.30333	-30.11372	239	-74.5	0.7	6.47	2.38		5.13E+03	6.45   0.12	2.57	0.21	0.39	2.95	1.83	5.13	3.52	9.13	-0.43	15.2	60.9	-0.37	-0.11
NGC 6273	6.80E+05	255.65749	-26.26797	296	145.3	0.5	8.24	1.47		5.89E+04	6.80   0.05	2.09	0.2	1.11	4.97	3.13	4.04	2.82	9.53	-0.81	11	42.5	-0.34	-0.08
NGC 6284	5.51E+05	256.11879	-24.76486	56	29	0.7	15.3	7.09		1.13E+05	8.71   0.20	3.42	1.11	0.63	6.77	3.91	4.17	2.38	9.67	-0.94	8.9	36.2	-0.38	-0.05
NGC 6293	1.88E+05	257.5425	-26.58208	0	-142.6	0.4	9.5	1.63		1.81E+04	8.11   0.16	1.67	0.29	0.11	4.37	2.76	5.55	2.34	9.17	-0.46	7.5	29.9	-0.34	-0.13
NGC 6304	2.77E+05	258.6344	-29.46203	193	-108.2	0.4	9.4	1.39		2.92E+04	8.10   0.17	1.37	0.26	1.02	6.68	4.45	3.39	2.03	9.49	-0.66	5.7	23	-0.38	-0.06
NGC 6316	3.75E+05	259.15542	-28.14011	70	99.1	0.8	11.6	3.29		6.86E+04	8.69   0.33	2.1	0.75	0.59	4.49	2.72	4.4	2.69	9.32	-0.61	9	35.9	-0.38	-0.08
NGC 6341	2.68E+05	259.28076	43.13594	422	-120.7	0.3	8.1	9.81		3.19E+03	6.51   0.06	1.81	0.09	0.61	4.14	2.28	4.94	2.67	9.24	-0.82	8	31.9	-0.35	-0.12
NGC 6342	4.64E+04	260.292	-19.58742	19	116	0.8	8.43	1.61		1.60E+04	10.34   0.96	2.82	1.44	0.07	2.88	2.1	6.69	2.96	8.53	0.14	4.5	17	-0.34	-0.12
NGC 6352	9.38E+04	261.37128	-48.42217	33	-140.1	0.8	5.89	3.57		3.49E+04	7.91   0.06	2.47	0.95	0.57	4.71	3.23	3.64	1.97	9.08	-0.37	4.4	16.8	-0.33	-0.12
NGC 6355	1.53E+05	260.99412	-26.35342	10	-196.4	1.3	8.7	0.84		7.73E+04	9.28   0.20	1.22	0.66	0.33	4.22	2.64	4.82	2.41	9.09	-0.39	6.2	24.6	-0.37	-0.11
NGC 6356	3.98E+05	260.89554	-17.81303	20	37.6	1.2	15.1	7.03		1.54E+05	8.20   0.11	1.62	0.65	1.14	5.89	3.71	3.76	2.42	9.54	-0.81	7.8	30.7	-0.35	-0.06
NGC 6362	1.47E+05	262.97909	-67.04833	374	-14.7	0.2	8	5.42		4.38E+03	7.67   0.10	2.6	0.14	2.85	8.07	5.77	2.22	1.53	9.51	-0.39	3.9	14.2	-0.27	-0.07
NGC 6366	4.73E+04	261.93436	-5.07986	220	-120.9	0.2	3.3	5.66		5.59E+03	8.76   0.33	2.34	0.73	1.38	4.54	3.31	2.65	1.83	8.89	-0.16	3	11.2	-0.32	-0.11
NGC 6388	1.06E+06	264.07178	-44.7355	481	83.4	0.5	11	3.66		9.25E+03	6.76   0.13	1.93	0.16	0.35	3.2	1.96	5.55	3.59	9.28	-0.57	18.2	74.2	-0.4	-0.09
NGC 6397	8.89E+04	265.17539	-53.67433	2945	18.4	0.1	2.48	6.33		1.57E+03	5.77   0.18	2.18	0.34	0.08	4	2.19	5.99	2.67	8.96	-0.75	5.2	21.9	-0.38	-0.12
NGC 6402	7.74E+05	264.40039	-3.24592	333	-60.7	0.4	9.3	4.04		6.13E+04	7.66   0.08	2.2	0.23	2.28	5.33	3.57	3.32	2.79	9.6	-0.87	11.1	39	-0.25	-0.09
NGC 6440	4.42E+05	267.21958	-20.36025	164	-67.8	1	8.24	1.28		6.45E+04	9.37   0.14	2.04	0.4	0.21	1.79	1.25	6.21	4.48	8.63	0.05	15.8	61.7	-0.37	-0.12
NGC 6441	1.23E+06	267.55441	-37.05145	326	17.1	0.8	12	3.78		1.12E+04	7.16   0.11	2.05	0.13	0.42	3.37	2.03	5.4	3.59	9.35	-0.63	18.8	75.8	-0.38	-0.09
NGC 6496	1.06E+05	269.76535	-44.26595	120	-134.7	0.3	11.69	4.18		1.63E+04	9.18   0.59	2.79	1.65	3.07	7.73	5.05	2.06	1.47	9.47	-0.75	3.4	12.2	-0.28	-0.1
